net,length_um
memory._0290_\[3\],554.77
SDA,548.55
i2c_master._74_\[6\],548.26
_06063_,544.52
clknet_2_1_0_p_clock,541.39
clknet_2_2_0_p_clock,539.09
net4,532.1
_02839_,526.66
_06628_,525.71
_07693_,523.25
_07695_,522.12
_07550_,522.01
net98,520.1
_06862_,519.7
_05314_,519.2
_07386_,516.58
i2c_master._74_\[4\],514.51
_06044_,512.98
memory._0290_\[4\],506.1
_06410_,504.4
i2c_master._74_\[3\],501.25
_05670_,499.78
_07579_,499.04
_05320_,498.815
_07511_,497.78
memory._0290_\[2\],496.19
net177,494.705
_05704_,491.2
_07539_,491.02
net176,489.08
_03102_,489.02
_05534_,487.63
_02933_,487.08
_06744_,486.9
_05646_,484.83
_07619_,484.42
_06821_,484.24
_03256_,483.55
_06930_,480.82
_07319_,480.04
_07406_,478.9
i2c_master._74_\[1\],478.18
memory._0519_,477.81
_07520_,477.54
_07415_,477
i2c_master._74_\[2\],476.28
_06000_,475.99
_07444_,475.51
_07530_,474.035
_07570_,473.3
_06764_,472.93
_05972_,471.82
_06735_,471.74
_05682_,469.495
_06704_,468.67
_06054_,467.64
_06920_,466.84
_05564_,466.29
_02915_,466
_02964_,465.65
_06664_,464.75
_05325_,464.06
_07163_,462.23
_05356_,459.7
_06907_,459.56
_06754_,457.12
_05779_,456.64
_06034_,456.19
_05913_,455.69
_06851_,452.17
_05686_,451.81
_06883_,451.72
_07560_,450.78
_03105_,450
_05315_,449.74
_07329_,449.42
_05991_,449.4
_06872_,448.16
_06654_,447.75
_05789_,447.24
_06841_,445.88
_06724_,444.42
_06911_,444.04
_07689_,442.13
_05904_,441.63
_05935_,441.34
_06013_,441.22
_05623_,440.38
_06622_,436.33
_07376_,436.08
_05563_,435.545
_07494_,434.4
_05924_,433.15
_05695_,432.89
_05525_,431.84
_05698_,430.54
_05689_,430.18
_06715_,429.84
net1,429.58
_07601_,429.03
_06830_,428.94
_05962_,427.69
_05541_,427.3
_05692_,427.28
_06783_,426.9
_07465_,426.62
_06022_,426.075
_06939_,425.92
_05331_,424.555
_07425_,424.26
_06695_,423.8
_07590_,422.9
_05335_,422.38
_05981_,422.12
_06893_,421.54
_07453_,421.51
_07474_,417.9
_06792_,417.475
_05553_,417.38
_05645_,417.33
_05885_,414.6
_07628_,413.85
_05283_,412.86
_07281_,412.74
i2c_master._74_\[0\],412.7
_05362_,412.36
_05768_,411.275
_05892_,410.02
_05952_,409.43
_07434_,408.98
_07484_,408.18
_07703_,406.78
_06811_,405.45
i2c_master._74_\[7\],404.07
_07358_,403.86
_06614_,401.52
_07350_,399.9
_05818_,399.47
_05309_,398.44
clknet_5_11__leaf_p_clock,398.38
_06901_,398.16
clknet_5_16__leaf_p_clock,395.5
_05600_,394.76
_06626_,394.48
_07367_,394.42
_07299_,394.22
_05648_,393.065
_06683_,392.64
_06674_,392.04
clknet_5_14__leaf_p_clock,391.1
_05827_,388.98
_05647_,386.96
_06248_,386.85
_05536_,386.59
_05596_,386.3
clknet_5_26__leaf_p_clock,386.06
_06643_,385.41
_04294_,385.185
_05344_,385.14
clknet_5_4__leaf_p_clock,384.85
_06897_,384.18
SCL,383.63
net5,382.54
_06633_,382.2
clknet_5_5__leaf_p_clock,378.27
_05304_,375.9
p_clock,375.61
_07339_,374.56
clknet_5_9__leaf_p_clock,374.24
_05347_,372.98
_06905_,372.9
clknet_5_1__leaf_p_clock,372.88
_05606_,370.98
_06618_,369.995
_03254_,369.26
_07308_,368.27
clknet_5_12__leaf_p_clock,368.24
clknet_5_27__leaf_p_clock,367.275
clknet_5_22__leaf_p_clock,367.24
clknet_5_6__leaf_p_clock,365.22
_05257_,364.66
_06802_,364.44
_05602_,363.69
_06279_,363.63
clknet_5_18__leaf_p_clock,363.62
_05808_,362.12
_06257_,362
clknet_5_28__leaf_p_clock,361.74
_05598_,359.22
memory._0454_,359.12
clknet_5_17__leaf_p_clock,358.62
_05353_,357.54
_07113_,355.4
_05799_,354.64
_05738_,354.54
clknet_5_30__leaf_p_clock,354.28
clknet_5_20__leaf_p_clock,353.32
_03175_,352.92
i2c_master._74_\[5\],352.76
_05594_,352.15
clknet_5_19__leaf_p_clock,352.01
clknet_5_29__leaf_p_clock,351.3
_06269_,351.16
_06158_,349.52
_07348_,348.92
_05758_,347.68
clknet_5_15__leaf_p_clock,347.62
_05587_,345.04
_06162_,344.02
_04103_,342.35
_07201_,342.35
_07261_,341.61
_05837_,340.525
clknet_5_8__leaf_p_clock,340.04
_05514_,337.57
_05671_,336.89
_05538_,336.77
_05846_,335.7
clknet_5_2__leaf_p_clock,332.68
_05728_,332.54
_02481_,331.82
_07271_,331.2
_07169_,331.1
_06160_,330.82
clknet_5_3__leaf_p_clock,330.82
_05550_,328.62
_06411_,327.78
_05634_,327.68
_06104_,324.38
_02472_,323.88
_06538_,323.52
_06780_,323.44
_07705_,322.64
_07172_,322.28
_06517_,322.02
_07144_,321.3
_03630_,320.99
_05742_,320.19
_06137_,319.82
_06094_,319.66
_06084_,319.32
_06881_,318.615
_06547_,317.38
memory._0294_\[1276\],317.08
net89,316.69
_06290_,315.98
_06347_,315.71
_07104_,315.6
_05898_,315.05
_03955_,314.86
_05578_,314.44
_07352_,314.12
_06135_,312.54
_06422_,312.42
_07360_,312.36
_06131_,311.475
_02500_,311.11
clknet_5_10__leaf_p_clock,310.915
_07362_,310.7
clknet_5_31__leaf_p_clock,309.4
_02822_,308.655
_06433_,308.28
_07087_,308.17
_06999_,308.1
_05282_,308.08
_06300_,308.06
_07192_,307.62
clknet_5_24__leaf_p_clock,306.91
_02491_,306.74
_07251_,306.26
memory._0296_\[0\],305.865
net118,305.26
_05300_,305.24
clknet_5_23__leaf_p_clock,304.76
_07891_,304.38
_070_\[0\],302.88
_06142_,302.48
_06463_,302.44
_05866_,301.76
_06133_,301.62
_04886_,301.405
_06413_,300.52
_06527_,299.98
_04031_,299.12
_05618_,299.06
_05592_,298.72
_02423_,298.16
_05857_,298.09
_06227_,297.49
_05876_,295.02
net250,294.86
_06593_,294.1
_06624_,294.08
memory._0296_\[1\],294.005
_05609_,293.54
_07133_,293
_07605_,292.81
clknet_5_13__leaf_p_clock,292.78
_02813_,292.54
_07182_,292.32
_05350_,292.2
_07124_,291.635
_04997_,291.6
clknet_5_25__leaf_p_clock,289.575
_05717_,289.37
_06903_,289.245
_05567_,287.82
_06310_,287.635
_07038_,287.635
_07240_,287.36
_07901_,286.7
clknet_5_0__leaf_p_clock,286.42
_06989_,286
_07609_,285.62
_06236_,285.53
_02619_,284.655
_05886_,284.315
_05604_,284.12
_07852_,283.55
_07009_,283.44
_07293_,283.33
_07701_,283.08
_05708_,282.82
_06567_,282.56
_07295_,282.49
_05644_,282.42
_06474_,282.39
_07599_,281.2
_06075_,281.13
_05305_,280.78
_06979_,280.38
_06392_,279.84
_07766_,279.68
_05576_,279.36
_07028_,278.74
_06401_,278.65
_07611_,278.1
_05341_,277.6
_02600_,277.36
clknet_5_7__leaf_p_clock,277.16
_06581_,277.02
net97,277.02
_05705_,276.31
_06368_,276.22
_06288_,274.83
_07220_,274.64
_03255_,274.485
_06453_,274.29
_07047_,274.08
_07077_,273.64
clknet_5_21__leaf_p_clock,273.34
_06557_,273.04
_07660_,272.16
_06208_,271.96
_05684_,271.955
i2c_master._40_,271.73
_06485_,271.52
_05701_,271.04
net204,270.98
_07613_,270.86
_05744_,270.76
_07161_,270.62
_06442_,270.45
_06152_,270.34
_07159_,269.36
_06899_,269.3
net6,269.28
_05888_,268.68
_06329_,268.36
_07615_,267.95
net300,267.88
_07756_,267.34
_06604_,267.08
net127,266.92
_07153_,266.84
_07211_,266.76
_02638_,266.56
_02903_,266.13
_06496_,264.9
_06584_,264.7
_07231_,264.27
_04794_,264.1
_07880_,263.94
_06506_,263.32
_07019_,263.06
_06114_,262.8
_06319_,262.66
_07861_,262.505
_05589_,262.5
_05737_,262
_02417_,261.46
_06733_,261.3
_07155_,260.82
_06217_,257.89
_02834_,257.66
_05088_,257.62
_07364_,257.04
_06339_,256.44
_06266_,254.88
_07354_,253.34
_05900_,253.245
_05302_,252.97
_05590_,252.6
_06961_,252.6
_07871_,251.88
_03606_,251.48
_04586_,251.1
_02610_,250.435
_06169_,249.82
_07785_,249.34
_06951_,248.4
_07727_,248.25
_07157_,248.21
_07717_,248.1
_07617_,248.015
_02591_,247.455
_05565_,246.92
_05673_,246.12
_02443_,245.56
_087_\[7\],245.46
_07089_,245.36
_06483_,244.75
_06515_,243.37
_087_\[5\],243.18
_05625_,243.08
_06189_,242.55
_05310_,241.6
_06357_,240.92
_07095_,240.86
_06187_,240.195
_07670_,240
_07775_,239.93
_06198_,239.78
_07285_,239.24
_07356_,238.84
_04009_,238.2
_02648_,237.42
_06164_,237.3
_06380_,236.66
_02433_,236.6
net108,236.29
_094_\[4\],236.04
_05746_,235.74
_07708_,235.4
net310,235.37
_07067_,235.32
_07600_,235.1
net136,234.835
_05894_,234.82
_06472_,234.74
_06960_,234.21
_06526_,233.8
net60,233.65
_05661_,232.94
_07959_,232.44
i2c_master._66_\[7\],231.83
_05608_,230.86
_06125_,230.08
_04417_,229.76
_05040_,229.71
_06569_,229.66
_02429_,229.26
_05512_,229.19
_07911_,228.82
_06772_,228.16
_06965_,227.71
_07058_,227.195
memory._0294_\[1279\],226.62
_05359_,226.24
_06579_,225.18
_07747_,225.12
_05890_,225.04
_05777_,224.84
_02421_,223.94
net12,223.34
_04292_,221.66
_05635_,221.44
_07803_,221.1
net228,220.44
_07167_,220.42
_03394_,220.3
_07588_,220.06
_06620_,218.86
_06178_,218.575
_05523_,217.27
_07939_,217.08
_05588_,216.7
_06367_,216.6
_05896_,216.04
_07920_,215.67
_05941_,214.55
_07680_,214.31
_04344_,213.92
net185,213.27
_02419_,213.25
_06566_,212.82
_02664_,212.41
_07795_,211.92
_07949_,211.86
_08046_,211.7
_07842_,211.44
_06973_,211.08
net237,211.07
_05690_,210.17
_03779_,209.36
_07833_,209.36
_02695_,209.27
_05755_,208.53
_07603_,207.22
_02662_,207.14
_04890_,206.96
_02532_,206.28
_06349_,206.21
_02629_,206.16
net9,205.79
_03808_,205.56
_07691_,205.34
_05696_,205.22
_05086_,205.21
_02562_,205.19
_06156_,204.84
net40,204.28
_06371_,203.92
_02712_,203.9
_04685_,203.71
_02462_,203.54
_05748_,203.06
_087_\[3\],201.82
_04913_,201.28
net269,201.13
_06577_,200.66
_08018_,200.62
_06774_,200.58
_06963_,200.38
_06127_,198.88
_06839_,198.5
_06652_,197.85
_07736_,196.32
_06616_,195.76
_07968_,194.95
_08027_,194.54
_07921_,193.9
_03145_,193.66
_06129_,193.4
memory._0290_\[6\],193.35
_02453_,193.34
_04150_,193.13
_07935_,192.28
net146,191.92
_06571_,191.74
_02552_,191.41
_02427_,191.4
_08037_,190.42
_06770_,190.16
_06766_,190.12
_04633_,189.94
_06374_,189.52
_06909_,189.52
_06871_,189.44
_087_\[4\],189.32
_06850_,188.88
_03350_,188.68
_07999_,188.19
_02840_,187.935
_04488_,187.7
_07649_,187.6
_06351_,186
_07933_,185.84
_07801_,185.66
_06166_,184.68
_07462_,184.3
_04196_,184.22
_06154_,183.6
i2c_master._65_\[13\],182.84
_06151_,182.56
_04037_,182.42
i2c_master._65_\[7\],182.295
_07923_,182.24
_07559_,182.2
_07506_,181.77
_02510_,181.76
_03250_,181.54
_05308_,181.22
_07280_,181.02
_05752_,181
_087_\[6\],180.86
net279,180.72
_06778_,180.06
_04385_,179.86
net195,179.23
_05652_,179.1
_03513_,178.46
_03278_,178.44
_06383_,178.24
_03099_,177.78
_087_\[2\],177.78
net259,177.04
_05856_,176.9
_03859_,176.76
_05699_,175.82
_02829_,175.78
_07640_,175.74
_05106_,175.26
_07549_,175
net165,174.99
_02425_,174.84
_06139_,173.98
i2c_master._65_\[5\],173.7
_04687_,173.54
_04575_,173.42
_06895_,172.98
_06613_,172.38
_07091_,171.98
_07814_,171.58
_02665_,171.2
net208,171.15
_06341_,170.61
_087_\[0\],169.68
_03657_,169.5
_07607_,169.4
_06861_,169.36
_06630_,169.2
_02581_,166.92
_04190_,166.7
_03981_,166.44
net280,166.395
_07989_,166.06
net170,165.74
_03792_,165.56
_04784_,165.52
net211,165.39
_04783_,165.22
net212,165.21
_087_\[1\],165
_05933_,164.99
_04606_,164.98
_05337_,164.785
_07809_,164.54
net70,163.96
_04689_,163.87
_06693_,163.86
_05740_,163.68
_074_,161.465
net80,161.05
_05367_,160.59
_08008_,160.56
_07925_,160.48
_06692_,160.36
_04464_,159.8
_06338_,159.64
net93,158.91
_04429_,158.85
_04690_,158.81
_07097_,158.16
net155,157.86
i2c_master._65_\[6\],157.4
_07937_,157.2
net160,157.19
_077_,157.04
_03253_,156.95
_03500_,156.7
_05085_,156.66
_05937_,156.63
_06971_,156.56
_05949_,155.24
_02660_,155.1
_05324_,155
_05319_,154.38
i2c_master._42_,154.1
_05087_,153.8
_05754_,153.69
net45,153.4
_03249_,153.3
_07823_,153.24
net175,152.43
net197,152.13
_07283_,151.96
_07980_,151.85
_07289_,151.74
_03883_,151.7
_04945_,151.56
_07927_,151.32
