net,length_um
_03892_,23.66
memory._0294_\[532\],23.66
memory._0294_\[794\],23.66
_02744_,23.64
memory._0294_\[1741\],23.64
_04166_,23.6
memory._0294_\[853\],23.6
memory._0294_\[1588\],23.56
memory._0294_\[72\],23.54
_07832_,23.52
memory._0294_\[308\],23.52
_03482_,23.5
memory._0294_\[1630\],23.5
_03436_,23.48
clknet_leaf_126_p_clock,23.48
_05135_,23.47
i2c_master.byte_ctrl.bit_ctrl._109_,23.46
memory._0294_\[1684\],23.42
memory._0294_\[190\],23.34
_04865_,23.32
memory._0294_\[1421\],23.32
_02727_,23.28
_03894_,23.24
i2c_master.byte_ctrl.bit_ctrl._114_,23.24
_02764_,23.22
_04096_,23.16
_03844_,23.14
_04860_,23.14
memory._0294_\[176\],23.08
_03184_,23.02
_04527_,23
i2c_master.byte_ctrl.bit_ctrl._091_\[4\],22.98
_03019_,22.96
memory._0294_\[1764\],22.94
_03809_,22.92
_04003_,22.92
i2c_master.byte_ctrl.bit_ctrl._154_\[0\],22.92
_02704_,22.88
_03918_,22.88
_06537_,22.88
memory._0294_\[1009\],22.88
_02921_,22.86
_04834_,22.84
_03320_,22.82
_03708_,22.78
_05056_,22.76
_094_\[18\],22.76
memory._0294_\[599\],22.76
_04276_,22.74
_064_\[4\],22.74
i2c_master.byte_ctrl._100_,22.74
memory._0294_\[924\],22.72
memory._0294_\[1426\],22.7
_05463_,22.64
_03765_,22.62
memory._0294_\[1721\],22.6
_03072_,22.58
memory._0294_\[1026\],22.58
_05026_,22.56
_04526_,22.54
_04177_,22.5
memory._0294_\[199\],22.5
_05055_,22.48
_03579_,22.46
_04401_,22.46
_05102_,22.46
memory._0294_\[83\],22.46
_094_\[28\],22.42
i2c_master.byte_ctrl.bit_ctrl._154_\[6\],22.42
memory._0294_\[1427\],22.42
memory._0294_\[731\],22.38
memory._0294_\[137\],22.36
memory._0294_\[1040\],22.34
_04129_,22.32
_094_\[23\],22.32
_04971_,22.28
net1445,22.26
memory._0294_\[182\],22.24
clknet_leaf_151_p_clock,22.24
memory._0294_\[841\],22.22
_03272_,22.2
_03415_,22.2
_03499_,22.2
_03647_,22.16
memory._0294_\[23\],22.16
memory._0294_\[1625\],22.14
_04033_,22.12
memory._0294_\[1307\],22.12
_094_\[14\],22.08
memory._0294_\[115\],22.08
clknet_leaf_343_p_clock,22.08
_03736_,22.04
_04074_,22.04
_04446_,22.04
memory._0294_\[896\],22.04
_02740_,22
_04788_,22
_05046_,22
memory._0294_\[1434\],22
memory._0294_\[1656\],22
memory._0295_\[2\],22
_06355_,21.98
_03440_,21.94
_05276_,21.94
memory._0294_\[1716\],21.94
memory._0294_\[216\],21.94
_06781_,21.92
memory._0294_\[1497\],21.92
memory._0294_\[777\],21.92
memory._0295_\[1\],21.92
i2c_master.byte_ctrl._117_\[1\],21.9
memory._0294_\[1627\],21.88
memory._0294_\[774\],21.86
_03882_,21.84
memory._0296_\[26\],21.815
memory._0294_\[1660\],21.8
memory._0294_\[1918\],21.76
_05537_,21.74
memory._0295_\[3\],21.74
_02452_,21.72
_06207_,21.7
memory._0294_\[1866\],21.7
i2c_master.byte_ctrl._041_,21.69
_04357_,21.66
_04478_,21.66
memory._0294_\[1350\],21.64
memory._0294_\[70\],21.64
_04452_,21.6
_094_\[13\],21.59
_03928_,21.58
clknet_leaf_321_p_clock,21.58
_03493_,21.56
_04729_,21.56
net438,21.56
memory._0294_\[1516\],21.52
memory._0294_\[62\],21.51
_03269_,21.5
_096_\[2\],21.5
memory._0294_\[1500\],21.5
memory._0294_\[1926\],21.48
_03759_,21.46
_05139_,21.46
_07463_,21.44
memory._0294_\[16\],21.42
_03162_,21.4
memory._0290_\[9\],21.38
memory._0294_\[576\],21.38
_04755_,21.34
_06714_,21.32
memory._0294_\[1093\],21.32
memory._0294_\[1123\],21.32
memory._0294_\[1236\],21.3
_03819_,21.28
_094_\[30\],21.28
memory._0294_\[915\],21.28
memory._0294_\[1598\],21.26
_04248_,21.24
memory._0294_\[913\],21.22
i2c_master._73_,21.21
_05261_,21.2
i2c_master.byte_ctrl.bit_ctrl._112_,21.2
memory._0294_\[1473\],21.2
memory._0294_\[1827\],21.2
memory._0294_\[1148\],21.18
memory._0294_\[569\],21.18
_04637_,21.16
memory._0296_\[3\],21.14
i2c_master._66_\[4\],21.12
i2c_master.byte_ctrl._080_,21.12
memory._0294_\[1732\],21.12
memory._0294_\[1897\],21.12
i2c_master.byte_ctrl.bit_ctrl._091_\[1\],21.1
memory._0294_\[264\],21.1
memory._0294_\[1713\],21.09
_02684_,21.08
_03746_,21.08
_04108_,21.08
_04438_,21.08
_04564_,21.08
memory._0294_\[1595\],21.04
memory._0294_\[809\],21.04
_05033_,21.03
_03467_,21.02
_04059_,21.02
_03888_,21
memory._0294_\[1462\],20.95
_03868_,20.94
_04944_,20.94
memory._0294_\[345\],20.92
memory._0294_\[422\],20.92
memory._0294_\[1928\],20.885
_04799_,20.86
memory._0294_\[1658\],20.86
memory._0294_\[1607\],20.84
memory._0294_\[55\],20.84
_04011_,20.82
memory._0294_\[1133\],20.82
memory._0294_\[525\],20.82
_05452_,20.805
_094_\[29\],20.8
memory._0294_\[1081\],20.8
_04170_,20.78
memory._0294_\[1885\],20.78
memory._0294_\[244\],20.78
memory._0294_\[444\],20.78
memory._0294_\[1657\],20.76
i2c_master.2084$func$\/openlane\/designs\/i2c_interface_component\/src\/i2c_interface_component.v:2827$680.$result\[2\],20.74
memory._0294_\[1914\],20.72
_094_\[19\],20.71
memory._0294_\[1201\],20.7
memory._0294_\[1509\],20.7
memory._0294_\[1840\],20.7
memory._0294_\[945\],20.7
_03782_,20.68
_03826_,20.68
_095_\[3\],20.67
memory._0294_\[701\],20.67
_070_\[1\],20.66
memory._0294_\[885\],20.66
memory._0294_\[1482\],20.62
memory._0294_\[916\],20.62
memory._0294_\[1639\],20.56
_04311_,20.54
_05229_,20.52
memory._0294_\[439\],20.5
clknet_leaf_84_p_clock,20.5
memory._0294_\[432\],20.46
_03568_,20.42
_04149_,20.42
memory._0294_\[573\],20.42
memory._0294_\[1809\],20.4
memory._0294_\[273\],20.4
memory._0294_\[1280\],20.38
memory._0294_\[1461\],20.38
memory._0294_\[1629\],20.38
memory._0294_\[118\],20.36
memory._0294_\[595\],20.36
_03153_,20.34
_03742_,20.34
memory._0294_\[949\],20.32
i2c_master.byte_ctrl._104_\[5\],20.28
memory._0294_\[1844\],20.28
memory._0294_\[455\],20.28
net380,20.265
_03718_,20.24
_04211_,20.24
memory._0294_\[253\],20.24
_03906_,20.2
memory._0294_\[1465\],20.2
memory._0294_\[309\],20.2
_03409_,20.17
memory._0294_\[1367\],20.16
memory._0294_\[974\],20.16
memory._0294_\[982\],20.16
_03183_,20.1
i2c_master.byte_ctrl.bit_ctrl._154_\[2\],20.1
_05562_,20.08
memory._0294_\[1490\],20.08
memory._0294_\[1591\],20.08
net367,20.06
memory._0294_\[1698\],20.04
memory._0294_\[186\],20.04
memory._0294_\[2013\],20.04
memory._0294_\[32\],20.02
_03705_,20
_03872_,20
_06820_,20
memory._0294_\[1226\],20
memory._0294_\[674\],20
_02735_,19.98
memory._0294_\[409\],19.98
_04927_,19.96
memory._0294_\[1553\],19.96
_03523_,19.94
_04327_,19.94
memory._0294_\[1360\],19.94
memory._0294_\[435\],19.94
_03692_,19.88
i2c_master.2084$func$\/openlane\/designs\/i2c_interface_component\/src\/i2c_interface_component.v:2827$680.$result\[1\],19.86
memory._0294_\[1896\],19.86
_05092_,19.84
_07958_,19.8
memory._0294_\[1884\],19.78
memory._0294_\[3\],19.78
_02432_,19.74
_04370_,19.74
_06452_,19.74
memory._0294_\[773\],19.74
_04851_,19.72
memory._0294_\[1621\],19.72
memory._0294_\[17\],19.72
_05189_,19.7
_04705_,19.68
_094_\[25\],19.68
_03971_,19.66
_094_\[12\],19.66
i2c_master.byte_ctrl.bit_ctrl._081_,19.66
memory._0290_\[30\],19.64
memory._0294_\[1819\],19.64
_03788_,19.63
_04274_,19.605
i2c_master.byte_ctrl.bit_ctrl._154_\[4\],19.58
memory._0294_\[312\],19.58
memory._0294_\[999\],19.58
memory._0294_\[1688\],19.56
memory._0296_\[13\],19.56
i2c_master.byte_ctrl.bit_ctrl._090_\[1\],19.55
memory._0294_\[699\],19.5
_05191_,19.48
_03811_,19.46
_03710_,19.44
_04451_,19.44
_05301_,19.44
memory._0294_\[980\],19.44
_00216_,19.42
_05136_,19.42
memory._0294_\[255\],19.42
memory._0294_\[592\],19.42
memory._0294_\[1578\],19.41
_02792_,19.4
_03960_,19.4
_04514_,19.4
_07250_,19.38
_02571_,19.36
_03519_,19.36
memory._0294_\[1209\],19.36
memory._0294_\[1730\],19.34
_03785_,19.32
_04455_,19.32
memory._0294_\[1208\],19.32
memory._0294_\[1568\],19.32
_03008_,19.3
_04487_,19.3
memory._0290_\[13\],19.285
_02723_,19.28
_07092_,19.28
memory._0294_\[1513\],19.26
memory._0294_\[453\],19.26
_02446_,19.24
_03948_,19.24
memory._0294_\[1180\],19.24
memory._0294_\[22\],19.24
memory._0294_\[722\],19.24
net672,19.24
_03348_,19.22
_04442_,19.21
memory._0294_\[1357\],19.2
memory._0294_\[198\],19.2
_02936_,19.18
memory._0294_\[319\],19.15
_02768_,19.14
memory._0294_\[1628\],19.14
memory._0294_\[1041\],19.12
memory._0294_\[361\],19.12
_02696_,19.08
_03393_,19.08
_03716_,19.08
_04043_,19.08
_04762_,19.08
_03428_,19.06
_03852_,19.04
memory._0290_\[26\],19.04
_03603_,19.02
_04684_,19.02
memory._0294_\[2020\],19.02
memory._0294_\[772\],19.02
_07569_,18.98
memory._0294_\[1129\],18.98
_03669_,18.96
_05183_,18.96
_08036_,18.96
memory._0294_\[266\],18.96
memory._0294_\[425\],18.96
memory._0294_\[1377\],18.95
_02628_,18.94
_04463_,18.94
_03245_,18.9
_03445_,18.9
_096_\[8\],18.9
memory._0294_\[1196\],18.9
memory._0294_\[1590\],18.9
memory._0294_\[1986\],18.9
memory._0294_\[1172\],18.86
_03166_,18.84
_03012_,18.82
_04281_,18.82
_04506_,18.82
net453,18.8
memory._0294_\[700\],18.78
memory._0294_\[1626\],18.76
_01705_,18.74
memory._0294_\[717\],18.74
_07745_,18.68
memory._0294_\[1528\],18.68
_02365_,18.66
_04956_,18.655
_04772_,18.65
_04615_,18.64
memory._0294_\[1388\],18.64
memory._0294_\[57\],18.64
memory._0294_\[92\],18.64
_04041_,18.62
memory._0294_\[1424\],18.605
_03864_,18.6
_05059_,18.6
memory._0294_\[1460\],18.6
memory._0294_\[1746\],18.58
net433,18.58
_03239_,18.56
_04448_,18.56
memory._0294_\[1692\],18.56
_02266_,18.52
memory._0294_\[396\],18.52
_02779_,18.51
_04714_,18.5
_06431_,18.5
_04491_,18.48
memory._0294_\[189\],18.48
memory._0294_\[1585\],18.46
memory._0294_\[878\],18.46
_03758_,18.44
memory._0294_\[161\],18.44
memory._0294_\[1320\],18.42
_04572_,18.4
memory._0294_\[21\],18.4
memory._0294_\[35\],18.4
_06977_,18.38
_04838_,18.36
memory._0294_\[1996\],18.36
memory._0294_\[206\],18.36
memory._0294_\[437\],18.36
_096_\[1\],18.35
_07938_,18.32
memory._0294_\[365\],18.32
_02710_,18.3
_04953_,18.26
memory._0294_\[1633\],18.26
_04277_,18.24
_06495_,18.24
memory._0294_\[1618\],18.24
memory._0294_\[271\],18.22
_01947_,18.2
memory._0294_\[394\],18.2
_03749_,18.18
memory._0294_\[1870\],18.16
memory._0294_\[882\],18.16
memory._0294_\[95\],18.16
memory._0294_\[1498\],18.15
memory._0294_\[407\],18.14
i2c_master.byte_ctrl._111_,18.12
memory._0294_\[1901\],18.12
memory._0294_\[5\],18.12
_02745_,18.1
memory._0294_\[1162\],18.1
memory._0294_\[256\],18.1
memory._0294_\[448\],18.1
memory._0294_\[1192\],18.08
memory._0294_\[1634\],18.08
memory._0294_\[326\],18.08
memory._0294_\[1609\],18.06
_01553_,18.04
_03323_,18.02
memory._0294_\[78\],18.02
_03412_,18
_04340_,17.98
memory._0294_\[359\],17.98
memory._0294_\[1150\],17.96
memory._0294_\[1965\],17.96
_04979_,17.94
memory._0294_\[222\],17.94
memory._0294_\[1593\],17.92
memory._0296_\[16\],17.915
memory._0294_\[1909\],17.9
memory._0294_\[588\],17.9
memory._0294_\[1589\],17.88
memory._0294_\[428\],17.86
i2c_master.byte_ctrl.bit_ctrl._091_\[7\],17.85
memory._0294_\[13\],17.84
_03281_,17.82
memory._0294_\[1930\],17.82
_02935_,17.8
memory._0294_\[124\],17.8
memory._0290_\[28\],17.78
memory._0294_\[1358\],17.78
memory._0294_\[1789\],17.78
memory._0294_\[1127\],17.765
_02368_,17.74
_02671_,17.74
memory._0294_\[1768\],17.74
_01967_,17.7
_04353_,17.7
_05084_,17.7
_05284_,17.7
memory._0294_\[1080\],17.7
memory._0294_\[1342\],17.68
memory._0294_\[8\],17.68
memory._0294_\[51\],17.66
memory._0294_\[828\],17.66
_02759_,17.64
_04061_,17.64
memory._0294_\[1380\],17.64
memory._0294_\[426\],17.64
net412,17.64
memory._0294_\[184\],17.62
_03110_,17.6
_04271_,17.6
_05205_,17.6
_05971_,17.6
_07051_,17.6
memory._0294_\[947\],17.6
memory._0294_\[1562\],17.58
memory._0294_\[235\],17.58
_02753_,17.56
memory._0294_\[1176\],17.56
memory._0294_\[1978\],17.56
_04229_,17.52
memory._0294_\[1223\],17.52
memory._0294_\[1514\],17.52
memory._0294_\[1680\],17.52
_04903_,17.5
memory._0294_\[259\],17.5
_02490_,17.48
_05074_,17.48
memory._0290_\[18\],17.48
memory._0294_\[800\],17.48
memory._0294_\[1199\],17.44
memory._0294_\[131\],17.44
memory._0294_\[1551\],17.44
memory._0294_\[382\],17.44
memory._0294_\[869\],17.44
_05450_,17.405
_02748_,17.4
_03507_,17.4
_05328_,17.4
memory._0294_\[421\],17.4
memory._0294_\[946\],17.4
_06462_,17.38
_05439_,17.36
memory._0294_\[1078\],17.36
memory._0294_\[1774\],17.36
memory._0294_\[1974\],17.36
memory._0296_\[9\],17.36
_04062_,17.34
_05082_,17.34
_03687_,17.32
_04389_,17.32
_05041_,17.32
_06053_,17.32
memory._0294_\[1029\],17.32
memory._0294_\[1971\],17.32
memory._0294_\[1763\],17.3
memory._0294_\[1826\],17.3
memory._0294_\[338\],17.3
_03408_,17.28
memory._0294_\[1227\],17.28
memory._0294_\[1229\],17.28
memory._0294_\[67\],17.28
memory._0294_\[185\],17.26
net1380,17.26
memory._0296_\[30\],17.25
_02709_,17.24
_04048_,17.24
i2c_master.byte_ctrl.bit_ctrl._110_,17.24
memory._0294_\[522\],17.24
_00186_,17.22
_02990_,17.22
memory._0294_\[104\],17.22
_02798_,17.2
_03665_,17.2
_07270_,17.2
memory._0294_\[1454\],17.18
memory._0294_\[1540\],17.18
memory._0294_\[1576\],17.18
memory._0294_\[577\],17.18
_04752_,17.16
memory._0294_\[181\],17.16
_02756_,17.14
memory._0294_\[129\],17.14
memory._0294_\[1617\],17.14
memory._0296_\[17\],17.14
_02782_,17.12
memory._0294_\[38\],17.12
memory._0294_\[52\],17.12
i2c_master.byte_ctrl.bit_ctrl._154_\[1\],17.08
memory._0294_\[1715\],17.08
memory._0294_\[1510\],17.06
memory._0294_\[465\],17.06
_04139_,17.04
_04585_,17.04
memory._0294_\[1139\],17.02
memory._0294_\[1399\],17.02
memory._0294_\[1459\],17.02
memory._0294_\[1801\],17.02
memory._0294_\[571\],17.02
memory._0294_\[899\],17.02
_03157_,16.96
memory._0294_\[746\],16.94
memory._0294_\[936\],16.94
_05389_,16.92
_04365_,16.9
_070_\[6\],16.9
memory._0294_\[1970\],16.9
memory._0294_\[4\],16.9
memory._0294_\[1147\],16.86
memory._0294_\[1638\],16.86
memory._0294_\[891\],16.86
_04743_,16.84
memory._0294_\[1390\],16.84
net458,16.83
_04226_,16.82
memory._0294_\[1762\],16.82
_02658_,16.8
_04959_,16.8
memory._0294_\[383\],16.8
_03371_,16.78
_02773_,16.76
_03581_,16.76
_03916_,16.76
_04300_,16.76
memory._0294_\[1011\],16.76
memory._0294_\[123\],16.76
memory._0294_\[86\],16.76
memory._0294_\[1118\],16.74
memory._0294_\[191\],16.74
_05049_,16.725
_03347_,16.72
_03968_,16.72
memory._0294_\[1889\],16.72
memory._0296_\[21\],16.72
_03506_,16.7
_07507_,16.7
memory._0294_\[1916\],16.7
_05407_,16.695
memory._0294_\[1927\],16.68
_05419_,16.66
memory._0294_\[1470\],16.66
memory._0294_\[1880\],16.66
memory._0294_\[246\],16.66
memory._0294_\[702\],16.66
_03203_,16.64
_04415_,16.64
memory._0294_\[489\],16.64
_05134_,16.62
memory._0294_\[1177\],16.62
_03849_,16.6
memory._0294_\[1140\],16.6
memory._0294_\[1450\],16.6
memory._0294_\[1652\],16.6
memory._0294_\[433\],16.6
_03411_,16.58
_04562_,16.58
memory._0294_\[304\],16.58
memory._0295_\[5\],16.58
i2c_master.byte_ctrl.bit_ctrl._089_\[2\],16.57
_03706_,16.56
_04325_,16.56
_05327_,16.56
memory._0294_\[1347\],16.56
memory._0294_\[2031\],16.56
memory._0294_\[977\],16.56
_05472_,16.54
memory._0294_\[1250\],16.52
memory._0294_\[1287\],16.52
memory._0294_\[1298\],16.52
memory._0294_\[502\],16.52
memory._0294_\[944\],16.52
i2c_master.byte_ctrl.bit_ctrl._111_,16.51
_01928_,16.5
memory._0294_\[1131\],16.48
memory._0294_\[1504\],16.48
memory._0294_\[322\],16.48
memory._0294_\[914\],16.48
net1685,16.48
_04206_,16.46
_04363_,16.44
_05234_,16.44
memory._0294_\[2034\],16.44
memory._0294_\[554\],16.44
memory._0294_\[958\],16.44
i2c_master.byte_ctrl._117_\[2\],16.425
_04310_,16.42
memory._0294_\[111\],16.41
_04852_,16.4
_01974_,16.38
_02732_,16.38
memory._0294_\[533\],16.38
memory._0294_\[117\],16.36
memory._0294_\[491\],16.36
_04087_,16.34
_04169_,16.34
_04513_,16.34
_094_\[22\],16.34
_03684_,16.32
_03854_,16.32
i2c_master.byte_ctrl.bit_ctrl._091_\[10\],16.32
memory._0294_\[540\],16.32
_03426_,16.3
_03834_,16.3
memory._0289_\[0\],16.3
memory._0294_\[377\],16.3
_03638_,16.28
_04044_,16.28
memory._0294_\[1855\],16.28
memory._0294_\[1496\],16.26
memory._0294_\[1596\],16.26
memory._0294_\[226\],16.26
memory._0294_\[568\],16.26
memory._0294_\[715\],16.26
_02787_,16.22
i2c_master.byte_ctrl.bit_ctrl._094_,16.2
memory._0294_\[1219\],16.2
memory._0294_\[1726\],16.2
memory._0294_\[262\],16.2
memory._0294_\[607\],16.2
_03696_,16.18
_04744_,16.18
_05104_,16.18
memory._0294_\[1288\],16.18
memory._0294_\[302\],16.18
_04742_,16.16
_05425_,16.16
memory._0294_\[68\],16.16
net443,16.145
_03573_,16.14
_07464_,16.14
memory._0294_\[1112\],16.14
memory._0294_\[981\],16.14
memory._0294_\[1640\],16.12
_02718_,16.1
_03619_,16.1
memory._0294_\[1248\],16.1
memory._0294_\[1857\],16.1
memory._0294_\[1977\],16.1
memory._0294_\[481\],16.1
_03022_,16.09
memory._0294_\[1068\],16.08
memory._0294_\[1283\],16.08
_06929_,16.06
memory._0294_\[1107\],16.06
memory._0294_\[441\],16.06
memory._0294_\[630\],16.06
net357,16.06
_06224_,16.04
memory._0294_\[1188\],16.04
memory._0294_\[337\],16.04
_095_\[10\],16.03
_03659_,16.02
_06011_,16.02
memory._0294_\[59\],16.02
memory._0294_\[961\],16.02
memory._0294_\[495\],16
memory._0294_\[784\],16
_04309_,15.995
_03417_,15.98
memory._0294_\[110\],15.98
memory._0294_\[1222\],15.98
memory._0294_\[925\],15.98
_04159_,15.96
memory._0294_\[871\],15.96
_06391_,15.94
memory._0294_\[458\],15.94
memory._0294_\[730\],15.94
memory._0294_\[941\],15.94
_04508_,15.92
_05225_,15.92
_04034_,15.9
_05021_,15.9
_094_\[17\],15.9
_03208_,15.88
_03831_,15.88
_05503_,15.88
memory._0294_\[203\],15.88
memory._0294_\[719\],15.88
memory._0294_\[890\],15.88
_05236_,15.86
memory._0290_\[19\],15.86
memory._0294_\[1336\],15.86
memory._0294_\[895\],15.86
_04115_,15.82
_05378_,15.82
memory._0294_\[416\],15.82
memory._0294_\[790\],15.82
memory._0294_\[109\],15.8
memory._0294_\[1985\],15.8
memory._0294_\[656\],15.8
_04138_,15.76
memory._0294_\[1877\],15.76
memory._0294_\[1947\],15.76
memory._0294_\[1997\],15.76
memory._0294_\[1998\],15.76
memory._0294_\[935\],15.76
memory._0294_\[636\],15.755
_04181_,15.74
memory._0294_\[1175\],15.74
memory._0294_\[1821\],15.74
memory._0294_\[211\],15.74
memory._0294_\[761\],15.74
memory._0294_\[775\],15.74
_04778_,15.72
_04912_,15.72
memory._0294_\[1130\],15.72
memory._0294_\[1580\],15.72
memory._0294_\[1649\],15.72
_03605_,15.7
memory._0294_\[1028\],15.7
_02762_,15.68
_03344_,15.68
_03580_,15.68
_04120_,15.68
_04683_,15.68
_05406_,15.68
memory._0294_\[1143\],15.68
memory._0294_\[1146\],15.68
memory._0294_\[1527\],15.68
memory._0294_\[1642\],15.68
memory._0294_\[252\],15.68
_06722_,15.66
memory._0294_\[611\],15.66
_03652_,15.64
_03930_,15.64
_05012_,15.64
_05073_,15.64
memory._0294_\[1206\],15.64
_04650_,15.6
memory._0294_\[1429\],15.6
_04474_,15.58
memory._0294_\[260\],15.58
memory._0294_\[391\],15.58
_04587_,15.56
memory._0294_\[1117\],15.56
memory._0294_\[149\],15.56
memory._0294_\[1979\],15.56
_04246_,15.54
_04345_,15.54
_04698_,15.52
memory._0294_\[1049\],15.52
memory._0294_\[1814\],15.52
memory._0294_\[567\],15.52
memory._0294_\[637\],15.52
memory._0294_\[833\],15.52
_03518_,15.5
memory._0294_\[1179\],15.5
memory._0294_\[1647\],15.5
memory._0294_\[53\],15.5
_04089_,15.48
_04280_,15.48
memory._0294_\[1076\],15.48
memory._0294_\[1541\],15.48
memory._0294_\[223\],15.48
_05467_,15.475
_096_\[32\],15.47
_04051_,15.46
memory._0294_\[1361\],15.44
_03936_,15.42
memory._0294_\[14\],15.42
memory._0294_\[88\],15.42
memory._0294_\[360\],15.4
memory._0294_\[725\],15.4
_04032_,15.38
_04949_,15.38
memory._0294_\[1432\],15.38
memory._0294_\[473\],15.38
_02867_,15.36
_06143_,15.36
memory._0294_\[1258\],15.36
memory._0294_\[1411\],15.36
memory._0294_\[1912\],15.36
_03032_,15.34
_04595_,15.34
_05262_,15.34
memory._0294_\[1523\],15.34
memory._0294_\[1794\],15.34
memory._0294_\[390\],15.34
memory._0294_\[18\],15.3
_04025_,15.28
_04198_,15.28
memory._0294_\[1900\],15.28
memory._0294_\[1969\],15.28
_04293_,15.265
_02493_,15.26
_07454_,15.26
memory._0294_\[130\],15.26
memory._0294_\[1619\],15.26
memory._0294_\[1786\],15.26
memory._0294_\[197\],15.26
memory._0294_\[1796\],15.245
_02796_,15.24
_04975_,15.24
memory._0294_\[1033\],15.22
memory._0294_\[328\],15.22
memory._0294_\[867\],15.22
_04133_,15.18
_04966_,15.18
memory._0294_\[1508\],15.18
memory._0294_\[1873\],15.18
memory._0294_\[192\],15.18
_04739_,15.16
_04812_,15.16
memory._0294_\[1184\],15.16
_00135_,15.14
_05650_,15.14
memory._0294_\[1804\],15.14
memory._0294_\[834\],15.14
memory._0294_\[1751\],15.12
_03886_,15.1
_07784_,15.1
memory._0294_\[1171\],15.1
memory._0294_\[1451\],15.1
memory._0294_\[1492\],15.1
memory._0294_\[1653\],15.1
memory._0294_\[1904\],15.1
memory._0294_\[564\],15.1
memory._0294_\[994\],15.1
_03734_,15.06
memory._0294_\[1153\],15.06
memory._0294_\[1458\],15.06
memory._0294_\[1727\],15.06
memory._0294_\[672\],15.06
_04303_,15.04
_05772_,15.04
memory._0294_\[1530\],15.04
_02774_,15.02
memory._0294_\[250\],15.02
memory._0294_\[912\],15.02
_03761_,15
memory._0294_\[1168\],15
memory._0294_\[1359\],15
clknet_leaf_295_p_clock,15
net365,15
_08017_,14.98
memory._0294_\[1493\],14.98
_04000_,14.96
_04811_,14.96
memory._0294_\[1374\],14.96
memory._0294_\[1484\],14.96
_04780_,14.94
memory._0294_\[1038\],14.94
memory._0294_\[1214\],14.94
_05418_,14.935
_04404_,14.92
memory._0294_\[1759\],14.92
memory._0294_\[1903\],14.92
memory._0294_\[1736\],14.9
memory._0294_\[1811\],14.9
memory._0294_\[1939\],14.9
memory._0294_\[931\],14.9
_04013_,14.88
_04287_,14.88
_04296_,14.88
memory._0294_\[1309\],14.88
_02800_,14.86
_03944_,14.84
_03994_,14.84
memory._0294_\[1400\],14.84
memory._0294_\[145\],14.84
memory._0294_\[1594\],14.84
_02720_,14.82
memory._0294_\[690\],14.82
net1584,14.82
memory._0294_\[1512\],14.81
_04471_,14.8
memory._0294_\[1908\],14.8
_01899_,14.78
_02777_,14.78
_04314_,14.78
_061_\[0\],14.78
memory._0290_\[14\],14.78
memory._0294_\[1547\],14.78
memory._0294_\[1676\],14.78
memory._0294_\[207\],14.78
net1576,14.78
_05903_,14.76
_07424_,14.76
_07489_,14.76
memory._0294_\[1487\],14.76
memory._0294_\[1671\],14.76
memory._0294_\[1364\],14.74
memory._0294_\[1235\],14.72
memory._0294_\[1439\],14.72
memory._0294_\[321\],14.72
memory._0294_\[91\],14.72
_02038_,14.7
_02461_,14.7
memory._0294_\[1577\],14.68
memory._0294_\[835\],14.68
memory._0294_\[1871\],14.66
_05448_,14.64
memory._0294_\[1767\],14.64
memory._0294_\[1919\],14.64
memory._0294_\[249\],14.64
memory._0294_\[967\],14.64
memory._0294_\[1807\],14.6
memory._0294_\[1824\],14.6
memory._0294_\[832\],14.6
_01014_,14.58
_04512_,14.58
memory._0294_\[1353\],14.58
memory._0294_\[1941\],14.56
memory._0294_\[281\],14.56
memory._0294_\[950\],14.56
net1292,14.56
_03679_,14.54
memory._0294_\[1743\],14.54
_03287_,14.52
memory._0294_\[1771\],14.52
memory._0294_\[801\],14.52
memory._0294_\[1787\],14.5
memory._0294_\[1961\],14.5
memory._0294_\[63\],14.5
_03465_,14.48
memory._0294_\[1205\],14.48
memory._0294_\[1655\],14.48
memory._0294_\[1797\],14.48
memory._0294_\[348\],14.48
_04641_,14.46
_04968_,14.46
memory._0294_\[1495\],14.46
memory._0294_\[97\],14.46
_03138_,14.44
_04146_,14.44
_04894_,14.44
_06797_,14.44
_06926_,14.44
memory._0294_\[1031\],14.44
_02724_,14.42
_03537_,14.42
_04223_,14.42
memory._0294_\[1345\],14.42
memory._0294_\[1467\],14.42
memory._0294_\[1724\],14.42
memory._0294_\[1829\],14.42
memory._0294_\[356\],14.42
memory._0294_\[392\],14.42
memory._0294_\[89\],14.42
i2c_master.byte_ctrl.bit_ctrl._089_\[1\],14.41
memory._0294_\[1847\],14.4
memory._0294_\[477\],14.4
_03189_,14.38
_04161_,14.38
memory._0294_\[1004\],14.38
memory._0294_\[1502\],14.38
memory._0294_\[1882\],14.38
memory._0294_\[353\],14.38
_04163_,14.36
_04398_,14.36
_05071_,14.36
_06429_,14.36
memory._0294_\[678\],14.36
_03297_,14.34
memory._0294_\[1224\],14.34
memory._0294_\[1485\],14.34
memory._0294_\[451\],14.34
memory._0294_\[665\],14.34
memory._0294_\[1393\],14.32
_03354_,14.3
_03878_,14.3
_04362_,14.3
_04523_,14.3
memory._0294_\[1072\],14.3
memory._0294_\[1152\],14.3
memory._0294_\[1677\],14.3
memory._0294_\[1933\],14.3
memory._0294_\[818\],14.3
net415,14.3
memory._0294_\[1533\],14.295
memory._0294_\[121\],14.28
memory._0294_\[1773\],14.28
